Date,24 Hour Change,24 Hour % Change,24 Hour Deaths,24 Hour Deaths % Change,24 Hour Tests,24 Hour % Positive Tests,Total Recovered,Total Active Infections,Total Confirmed Cases,Total Deaths
5-19-2020,1784,4.486695840249484%,58,2.8670291646070196%,7152,24.94407158836689%,2868,36597,41546,2081
5-18-2020,958,2.468817647665189%,31,1.5562248995983934%,6580,14.559270516717326%,2817,34922,39762,2023
5-17-2020,836,2.2018541930046354%,35,1.788451711803781%,4751,17.596295516733317%,2816,33996,38804,1992
5-16-2020,982,2.655058670848429%,46,2.4071166928309786%,7349,13.362362226153218%,2806,33205,37968,1957
5-15-2020,1083,3.016461019970476%,45,2.4115755627009645%,4372,24.771271729185727%,2685,32390,36986,1911
5-14-2020,1091,3.1339767896127775%,57,3.150912106135987%,4880,22.356557377049178%,2569,31468,35903,1866
5-13-2020,751,2.2048677372948533%,53,3.0182232346241458%,4071,18.447555883075413%,2456,30547,34812,1809
5-12-2020,688,2.0615467593563657%,73,4.337492572786691%,4723,14.56701249206013%,2394,29911,34061,1756
5-11-2020,786,2.412004787185074%,39,2.3722627737226274%,4849,16.209527737677874%,2298,29392,33373,1683
5-10-2020,1053,3.3392528699181834%,30,1.858736059479554%,3903,26.979246733282093%,2293,28650,32587,1644
5-9-2020,1049,3.4410365753649335%,54,3.4615384615384617%,3841,27.310596198906534%,2159,27761,31534,1614
5-8-2020,1111,3.7822564172397355%,57,3.792415169660679%,3587,30.972957903540564%,2041,26884,30485,1560
5-7-2020,1211,4.299968043177219%,66,4.592901878914405%,4588,26.3949433304272%,2029,25842,29374,1503
5-6-2020,1046,3.8573588523804254%,47,3.381294964028777%,3909,26.7587618316705%,1903,24823,28163,1437
5-5-2020,709,2.6847924871251134%,73,5.54290053151101%,3108,22.81209781209781%,1810,23917,27117,1390
5-4-2020,946,3.7153405074228263%,36,2.810304449648712%,4201,22.51844798857415%,1695,23396,26408,1317
5-3-2020,989,4.041188248273608%,30,2.3980815347721824%,7272,13.600110011001101%,1666,22515,25462,1281
5-2-2020,1001,4.264655760054533%,59,4.949664429530201%,4539,22.053315708305792%,1590,21632,24473,1251
5-1-2020,1730,7.956949682641891%,52,4.56140350877193%,6624,26.117149758454104%,1517,20763,23472,1192
4-30-2020,893,4.283179049354885%,62,5.75139146567718%,3430,26.034985422740526%,1432,19170,21742,1140
4-29-2020,736,3.6593248147964004%,62,6.102362204724409%,3144,23.40966921119593%,1361,18410,20849,1078
4-28-2020,626,3.2123980089290294%,71,7.5132275132275135%,2809,22.285510857956567%,1295,17802,20113,1016
4-27-2020,906,4.87594854959367%,35,3.8461538461538463%,8311,10.901215256888461%,1263,17279,19487,945
4-26-2020,815,4.587414161882247%,35,4%,7542,10.806152214266774%,1177,16494,18581,910
4-25-2020,1150,6.921039961482908%,77,9.649122807017543%,4407,26.094849103698657%,1165,15726,17766,875
4-24-2020,879,5.585562686662007%,50,6.684491978609626%,4616,19.042461005199307%,1108,14710,16616,798
4-23-2020,962,6.510998307952623%,50,7.163323782234957%,3571,26.939232707924948%,1040,13949,15737,748
4-22-2020,582,4.100612978228704%,46,7.05521472392638%,2894,20.11057360055287%,981,13096,14775,698
4-21-2020,509,3.7196726103478515%,70,12.027491408934708%,2238,22.743521000893654%,930,12611,14193,652
4-20-2020,854,6.656274356975837%,34,6.204379562043796%,3506,24.358243011979464%,917,12185,13684,582
4-19-2020,522,4.241143971400715%,14,2.6217228464419478%,2521,20.706069020230068%,914,11368,12830,548
4-18-2020,736,6.360179744210162%,40,8.097165991902834%,3361,21.89824457006843%,771,11003,12308,534
4-17-2020,788,7.307121661721068%,35,7.625272331154684%,3166,24.88945041061276%,736,10342,11572,494
4-16-2020,752,7.496012759170653%,46,11.138014527845035%,3080,24.415584415584416%,736,9589,10784,459
4-15-2020,560,5.912162162162162%,111,36.75496688741722%,2030,27.586206896551722%,607,9012,10032,413
4-14-2020,536,5.998209489704566%,40,15.267175572519085%,1982,27.04339051463169%,607,8563,9472,302
4-13-2020,711,8.644376899696049%,27,11.48936170212766%,1987,35.782586814292905%,603,8071,8936,262
4-12-2020,531,6.9014816740317135%,29,14.077669902912621%,2526,21.021377672209027%,456,7534,8225,235
4-11-2020,726,10.419058553386911%,35,20.46783625730994%,2790,26.021505376344084%,431,7057,7694,206
4-10-2020,783,12.659660468876313%,33,23.91304347826087%,2919,26.82425488180884%,397,6400,6968,171
4-9-2020,656,11.864713329716043%,14,11.29032258064516%,3067,21.388979458754484%,376,5671,6185,138
4-8-2020,1158,26.492793411118736%,21,20.388349514563107%,6835,16.942209217264082%,365,5040,5529,124
4-7-2020,326,8.059332509270705%,12,13.186813186813188%,2010,16.218905472636816%,288,3980,4371,103
4-6-2020,436,12.080908839013576%,24,35.82089552238806%,1280,34.0625%,184,3770,4045,91
4-5-2020,484,15.488%,14,26.41509433962264%,2727,17.74844151081775%,159,3383,3609,67
