date,state,Cases 24hr,Cases % 24hr,Deaths 24hr,Deaths % 24hr ,Tests 24hr,Positive Tests 24hr,Total Recovered,Total Active Infections,Total Cases,Total Deaths
5-27-2020,usa,18595,1.113%,1259,1.352%,285440,6.515%,391508,1203770,1689630,94352
5-26-2020,usa,16206,0.979%,629,0.68%,302099,5.364%,384902,1193040,1671035,93093
5-25-2020,usa,19069,1.166%,523,0.569%,441248,4.322%,379157,1183208,1654829,92464
5-24-2020,usa,20806,1.288%,654,0.716%,378908,5.491%,366736,1177083,1635760,91941
5-23-2020,usa,22298,1.4%,1091,1.21%,365728,6.097%,361239,1162428,1614954,91287
5-22-2020,usa,24159,1.54%,1280,1.44%,394296,6.127%,350135,1152325,1592656,90196
5-21-2020,usa,25903,1.679%,1444,1.651%,416546,6.219%,298418,1181163,1568497,88916
5-20-2020,usa,21342,1.403%,1402,1.629%,405404,5.264%,294312,1160810,1542594,87472
5-19-2020,usa,20940,1.396%,1430,1.69%,396791,5.277%,289392,1145790,1521252,86070
5-18-2020,usa,19839,1.34%,786,0.937%,345702,5.739%,283178,1132494,1500312,84640
5-17-2020,usa,20778,1.423%,839,1.011%,402808,5.158%,272265,1124354,1480473,83854
5-16-2020,usa,25032,1.745%,1286,1.573%,352936,7.093%,268376,1108304,1459695,83015
5-15-2020,usa,24488,1.737%,1478,1.842%,362941,6.747%,250747,1102187,1434663,81729
5-14-2020,usa,26951,1.948%,1908,2.435%,376751,7.154%,246414,1083510,1410175,80251
5-13-2020,usa,20491,1.504%,1693,2.209%,296025,6.922%,243430,1061451,1383224,78343
5-12-2020,usa,21483,1.602%,1543,2.054%,304745,7.05%,238857,1047226,1362733,76650
5-11-2020,usa,17345,1.31%,837,1.127%,384644,4.509%,232142,1034001,1341250,75107
5-10-2020,usa,21799,1.674%,979,1.336%,271207,8.038%,215591,1034044,1323905,74270
5-9-2020,usa,25149,1.969%,1529,2.131%,293553,8.567%,211976,1016839,1302106,73291
5-8-2020,usa,27697,2.217%,1760,2.514%,299269,9.255%,198459,1006736,1276957,71762
5-7-2020,usa,27506,2.251%,2746,4.083%,304305,9.039%,194528,984730,1249260,70002
5-6-2020,usa,25099,2.097%,1946,2.98%,246132,10.197%,189425,965073,1221754,67256
5-5-2020,usa,22121,1.883%,2530,4.03%,260818,8.481%,189336,942009,1196655,65310
5-4-2020,usa,21639,1.877%,912,1.474%,233820,9.255%,186752,925002,1174534,62780
5-3-2020,usa,25993,2.307%,1158,1.907%,240881,10.791%,179733,911294,1152895,61868
